content__235ca,username__703b9,anchor_edefb8,anchor_edefb8 (2),timestamp_c19a55,separator_c19a55,avatar_c19a55 src,username_c19a55,roleIcon__1e6f1 src,markup__75297,markup__75297 (2),markup__75297 (3),markup__75297 (4),latin24CompactTimeStamp_c19a55,separator_c19a55 (2),mention,botText__82f07,markup__75297 (5),markup__75297 (6),markup__75297 (7),markup__75297 (8),anchor_edefb8 href,anchor_edefb8 (3),embedProvider__623de,anchor_edefb8 href (2),embedDescription__623de,originalLink_af017a href,loadingOverlay_af017a src,emoji src,edited_c19a55,emoji src (2),reactionCount__23977,replyAvatar_c19a55 src,repliedTextContent_c19a55,repliedTextContent_c19a55 (2),repliedTextContent_c19a55 (3),username_c19a55 (2),avatarDecoration_c19a55 src,reactionCount__23977 (2),markup__75297 (9),markup__75297 (10),markup__75297 (14),markup__75297 (15),markup__75297 (16),markup__75297 (17),embedDescription__623de (2),embedDescription__623de (3),embedDescription__623de (4),embedDescription__623de (5),embedDescription__623de (6),embedDescription__623de (7),embedDescription__623de (8),embedDescription__623de (9),embedDescription__623de (10),embedDescription__623de (11),embedDescription__623de (12),embedDescription__623de (13),embedDescription__623de (14),embedDescription__623de (15),embedFieldName__623de,embedFieldValue__623de,embedFieldValue__623de (2),embedFieldValue__623de (3),embedFieldValue__623de (4),embedFieldName__623de (2),embedFieldValue__623de (5),video_cf09d8 src,repliedTextContent_c19a55 (4),repliedTextContent_c19a55 (5),repliedTextContent_c19a55 (6),embedDescription__623de (16),embedDescription__623de (17),embedDescription__623de (18),anchor_edefb8 href (3),anchor_edefb8 (4),embedVideoImageComponentInner__623de src,anchor_edefb8 href (5),repliedTextContent_c19a55 (7),repliedTextContent_c19a55 (8),repliedTextContent_c19a55 (9),embedFieldName__623de (3),embedFieldValue__623de (6),lazyImg_f4758a src,embedAuthorIcon__623de src,embedFooterIcon__623de src,embedFooterText__623de,embedFooterSeparator__623de,emoji src (3),markup__75297 (18),markup__75297 (19),markup__75297 (20),markup__75297 (21),markup__75297 (22),markup__75297 (23),markup__75297 (24),markup__75297 (25),anchor_edefb8 (5),reactionCount__23977 (3),embedDescription__623de (19),embedDescription__623de (20),embedDescription__623de (21),embedDescription__623de (22),embedVideo__623de src,anchor_edefb8 (6),anchor_edefb8 (7),anchor_edefb8 (8),edited_c19a55 (2),pngImage__31fc2 src,embedDescription__623de (23),repliedTextContent_c19a55 (10),embedDescription__623de (24),embedDescription__623de (25),embedDescription__623de (26),embedDescription__623de (27),embedDescription__623de (28),anchor_edefb8 href (6),originalLink_af017a href (2),repliedTextPlaceholder_c19a55,emoji src (4),emoji src (5),embedDescription__623de (29),embedDescription__623de (30),embedDescription__623de (31),embedDescription__623de (32),embedDescription__623de (33),embedDescription__623de (34),embedDescription__623de (35),embedDescription__623de (36),embedDescription__623de (37),embedDescription__623de (39),embedDescription__623de (40),embedDescription__623de (41),embedDescription__623de (42),embedDescription__623de (43),embedDescription__623de (44),embedDescription__623de (48),embedDescription__623de (59),embedDescription__623de (60),embedDescription__623de (61),embedDescription__623de (63),mention (2),imageError_af017a src,reactionCount__23977 (4),embedFieldValue__623de (7),embedFieldValue__623de (8),embedDescription__623de (64)
,,Steam,,"— 
3/21/22, 10:44 AM",—,https://discord.com/assets/2ccd8ae8b2379360.png,Deleted User,,- This is the game I mentioned in Stream,:,,,,,@Techsmith314,,,,,,https://store.steampowered.com/app/1740720/Have_a_Nice_Death/,https://store.steampowered.com/app/1740720/Have_a_Nice_Death/,,https://store.steampowered.com/app/1740720/Have_a_Nice_Death/,,,,,,,,,,,,,,,,,,,,,Discover and explore the darkly,", procedurally",-generated departments of Death Inc,.,", where you’ll meet a diverse cast of memorable characters—like your affable pumpkin",-headed assistant,", Pump Quinn—who are always willing to share the latest office gossipSharpen your skills",(and scythe,) through fast,-paced hack n’ slash combat,", utilizing ove",.,.,.,Price,$,1,4,0.99,Recommendations,1609,https://images-ext-1.discordapp.net/external/7KT70ouukPADMB1pOOQ1PP9yTGVfiRh7uTFec9XJxBc/%3Ft%3D1646765008/https/cdn.akamai.steamstatic.com/steam/apps/256877034/movie_max_vp9.webm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
3/23/22, 4:06 PM",—,https://cdn.discordapp.com/avatars/734228094558404611/7f785b444d4bb5a7f3221928edb652ae.webp?size=160,Oldnoob72,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,I just got this today,. Really fun but kinda difficult,. I have died a lot so far,,,,,,,,,,https://store.steampowered.com/app/1587130/Blood_West/,https://store.steampowered.com/app/1587130/Blood_West/,,https://store.steampowered.com/app/1587130/Blood_West/,,,,,,,,,,,,,,,,,,,,,Blood West is an immersive Wild West FPS where,", as a revenant desperado",", you take on the twisted demons and eldritch horrors",", while you search for the means to end the curse that has befallen the frontier",", and maybe find some peace for your wicked soul",.After you die your soul moves on to where it suppose to,. Heaven or hell,. But if the body is de,.,.,.,,,,Price,$,1,4,0.99,Recommendations,513,https://images-ext-1.discordapp.net/external/pOEzQ3v5kHp5ZNA46p5x21SorVT97jkEW-T867hfs8M/%3Ft%3D1644458738/https/cdn.akamai.steamstatic.com/steam/apps/256873109/movie_max_vp9.webm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
4/30/22, 12:12 PM",—,https://cdn.discordapp.com/avatars/734228094558404611/7f785b444d4bb5a7f3221928edb652ae.webp?size=160,Oldnoob72,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,This looks like something Tech and chat would enjoy,,,,,,,,,,,,https://store.steampowered.com/app/843020/Hipster_Cafe/,https://store.steampowered.com/app/843020/Hipster_Cafe/,,https://store.steampowered.com/app/843020/Hipster_Cafe/,,,,,,,,,,,,,,,,,,,,,Ever wanted to design,", build and manage a café on your very own home computer",? Really,? OK then,.,.,. welcome to HIPSTER CAFÉ,.,,,,,,,Price,$,2,1,0.24,,,https://images-ext-1.discordapp.net/external/efmEWrccjwUdb6drhxNbB4AgFnkerOITz9cHdFXOmTM/%3Ft%3D1644150492/https/cdn.akamai.steamstatic.com/steam/apps/256872205/movie_max_vp9.webm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
5/18/22, 9:52 AM",—,https://cdn.discordapp.com/avatars/214193071313780738/40e79040504cb38bfd050ff77ea90a64.webp?size=160,Korygg,https://cdn.discordapp.com/role-icons/409243229993828354/5a5243ec94ad1a4ca320516d0454befe.webp?size=40&quality=lossless,has Twitch integration too,,,,,,,,,,,,https://store.steampowered.com/app/512900/Streets_of_Rogue/,https://store.steampowered.com/app/512900/Streets_of_Rogue/,,https://store.steampowered.com/app/512900/Streets_of_Rogue/,,,,https://cdn.discordapp.com/emojis/850207321350733844.webp?size=96,,,,,,,,,,,,,,,,,Streets of Rogue is a rogue,-lite about player choice,", freedom",", and anarchic fun",. The game takes inspiration from fast,-paced top,-down rogue,-lites like Binding of Isaac and Nuclear Throne,", and adds free",-form,", experimentation",-driven,", emergent gameplay elements of RPGs like Deus Ex",.Rather than taking place in a dungeon,Price,$,1,9,0.99,Recommendations,11401,https://images-ext-1.discordapp.net/external/DBojR3WRu_bK2Iy6yOt52g9ni9bWWOHggkPjBVYskFg/%3Ft%3D1562965494/https/cdn.akamai.steamstatic.com/steam/apps/256755948/movie_max.webm,,,,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
6/8/22, 6:49 AM",—,https://cdn.discordapp.com/avatars/290262310654705664/8ab4be629e7171f3a9206c8e27314a4b.webp?size=160,👻 Lifeless Lexo the Lych👻,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,This gaming is due to release in OCT 2022 so a little while yet but it looks like a GREAT GAME for streamers and gamers alike,.,Solo or Multiplayer,. Open World,,,,,. Survival Horror,. Crafting and Building and Surviving a Cannibal,-infested utter wilderness,.,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/,,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/,,,,https://cdn.discordapp.com/emojis/850207321350733844.webp?size=96,(edited),,,,,,,,,,I can already hear Techs shrill scream in fright,!,,,,,An entirely new experience from the makers of the ‘The Forest’Sent to find a missing billionaire on a remote island,", you find yourself in a cannibal",-infested hellscape,. Craft,", build",", and struggle to survive",", alone or with friends",", in this terrifying new open",-world survival horror simulator,.A Survival Horror SimulatorExperience complete freedom t,.,.,.,,Release Date,Oct 2022,,,,,,https://images-ext-1.discordapp.net/external/NTICx0Tw05YYUi_8r7eZUZxkY4dbPqfxFj3Jhw3m07A/%3Ft%3D1651692528/https/cdn.akamai.steamstatic.com/steam/apps/256880856/movie_max_vp9.webm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
6/21/22, 6:37 AM",—,https://cdn.discordapp.com/avatars/734228094558404611/7f785b444d4bb5a7f3221928edb652ae.webp?size=160,Oldnoob72,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,Might be better for spooptember,,,,,,,,,,,,https://store.steampowered.com/app/1846170/Iron_Lung/,https://store.steampowered.com/app/1846170/Iron_Lung/,,https://store.steampowered.com/app/1846170/Iron_Lung/,,,,,,,,,,,,,,,,,,,,,Iron Lung is a short dread,-driven submarine horror game from the developer of DUSK,", The Moon Sliver",", and Squirrel Stapler",.FEATURES Experimental minimalist gameplay,", where your senses are limited and anything could be lurking around you Glimpse your surroundings through the lens of a grainy still camera and navigate using an incomplete satellite",.,.,.,,,,,,Price,$,5,0.99,2942,Recommendations,,https://images-ext-1.discordapp.net/external/ccIu1nsTzaCWmZFEu0-XtBAmgwKFWsMNXdxyqmoY8DA/%3Ft%3D1646326288/https/cdn.akamai.steamstatic.com/steam/apps/256874571/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
6/30/22, 1:24 PM",—,https://cdn.discordapp.com/avatars/734228094558404611/7f785b444d4bb5a7f3221928edb652ae.webp?size=160,Oldnoob72,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1325890/Silt/,https://store.steampowered.com/app/1325890/Silt/,,https://store.steampowered.com/app/1325890/Silt/,,,,,,,,,,,,,,,,,,,,,Silt is a surreal underwater puzzle,-adventure game,. Alone in an underwater abyss,", you are a diver searching the deep to uncover long",-forgotten mysteries,. Possess the creatures around you to solve puzzles and travel further into the darkness…Nature has evolved into bizarre forms,. Discover strange organisms,", unexplored ruins and ancient machinery",.,.,.,,,,Price,$,1,4,0.99,Recommendations,162,https://images-ext-1.discordapp.net/external/pcgljiPK4Aa1iZVi7oPsiRGzO6GQQSIYKVanQuJlvns/%3Ft%3D1654081728/https/cdn.akamai.steamstatic.com/steam/apps/256889397/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/29/22, 11:25 AM",—,https://cdn.discordapp.com/avatars/734228094558404611/7f785b444d4bb5a7f3221928edb652ae.webp?size=160,Oldnoob72,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,It,s a sim for our sim streamer,,,,,,,,,,,https://store.steampowered.com/app/2067050/Squirrel_with_a_Gun/,https://store.steampowered.com/app/2067050/Squirrel_with_a_Gun/,,https://store.steampowered.com/app/2067050/Squirrel_with_a_Gun/,,https://cdn.akamai.steamstatic.com/steam/apps/2067050/header.jpg?t=1658011789,https://images-ext-1.discordapp.net/external/OKaORSF-D09lUP3LO5H1Jib3GbEgNf64QGw5bE6-Fhk/%3Ft%3D1658011789/https/cdn.akamai.steamstatic.com/steam/apps/2067050/header.jpg?format=webp&width=800&height=374,,,,,,,,,,,,,,,,,,It is not easy,", but it",s fun,", to be a squirrel with a gun",.Squirrel with a gun is a sandbox game that focuses on exploration and shooting combat,.Defend yourself from random encounters with Agents,", using various weapons",. Deflect their melee attacks with exceptional timing to disarm them,.Climb and jump across platforms with your natural squirrel sk,.,.,.,,,Release Date,Good question,!,,,,,,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,,[,,,,,,,,"[
4:53 PM
]",],,,,,,,https://store.steampowered.com/app/2069990/Peepo_Island/,https://store.steampowered.com/app/2069990/Peepo_Island/,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,Try to escape Peepo Island by completing its difficult obstacle course and puzzles while an army of very cute Peepos try to push you to your doom,!,,,,,,,,,,,,,,,,,,,,https://images-ext-1.discordapp.net/external/m1Wgl4vAc_M5H36P6YjjA62BNNOMQppqO7kHfasjp2E/%3Ft%3D1656980525/https/cdn.akamai.steamstatic.com/steam/apps/256893689/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/app/2069990/Peepo_Island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
8/5/22, 10:41 AM",—,https://cdn.discordapp.com/avatars/214193071313780738/40e79040504cb38bfd050ff77ea90a64.webp?size=160,Korygg,https://cdn.discordapp.com/role-icons/409243229993828354/5a5243ec94ad1a4ca320516d0454befe.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1608700/Soundfall/,https://store.steampowered.com/app/1608700/Soundfall/,,https://store.steampowered.com/app/1608700/Soundfall/,,,,,,,,,,,,,,,,,,,,,Play to the Beat,!Soundfall is a fast,-paced music,-based dungeon crawler that combines looter,-shooter action with rhythm,-based gameplay to create a world of music unlike any other,. The closer you time your actions to the rhythm of the soundtrack,", the more powerful you become",!Import your own music,(PC Only,) Import your favorite music to create incr,.,.,.,Price,$,1,9,0.49,Recommendations,622,https://images-ext-1.discordapp.net/external/K0Lc1pL8hglSvjU_u9Y7LT00pc8bJ5RyVMEqNP0KROc/%3Ft%3D1652286388/https/cdn.akamai.steamstatic.com/steam/apps/256886028/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
